id,reservation_id,car_price_code,pickup_datetime,pickup_location,dropoff_location,car_count,passenger_count,car_total_price,unit_price,request_note,created_at,updated_at
ff0db2bb-d8d1-4146-86a0-52365dbf756d,1fb6e3ab-9ec6-4ce9-8cfa-f0de77cf67ff,C029,2026-04-20,L7 WEST LAKE HANOI BY LOTTE,updating,1,3,3000000,0,스테이하롱 셔틀 리무진 A,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
e9f34e2f-c97f-4f78-88a9-2eae8a9170dc,3611b9b1-c38d-4c4c-9c73-18c5f786d560,C026,2026-04-13,Minerva Premium Hotel,,1,10,3000000,0,11인승 리무진,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
0c816256-9bc5-41d2-93e5-68b4a6ebca87,c4e2b715-1d2b-43c5-a56e-c70cb213a6a0,C026,2026-04-02,,Minerva Premium Hotel,1,6,3000000,0,11인승 리무진,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
3eea130c-eb84-40c2-b76b-5dc1d29967e7,b02f2c01-1423-4a55-bc11-37708a685550,C032,2026-02-25,Somerset Grand Hanoi,Somerset Grand Hanoi,1,6,5500000,0,스테이하롱 셔틀 리무진 단독,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
eb2eef8b-4f55-4842-baa6-af5a91259f20,4c647f4e-e29c-49b5-9c95-01c434357d95,C330,2026-02-20,updating,updating,1,4,4000000,0,스테이하롱 셔틀 리무진 A,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
9ec22d05-5118-42c6-9160-285d6a6224be,74f48bb9-7e66-41f6-9427-5d4b0332f933,C042,2026-02-19,updating,updating,1,10,5500000,0,스테이하롱 셔틀 리무진 단독 (왕복),2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
5b5a245c-9592-4721-a1ed-a4e33c74e6aa,e1a33b44-44dc-49a7-90fb-314a5c72e94a,C028,2026-02-15,,Fraser Residence Hanoi,1,2,1500000,0,크루즈 셔틀 리무진,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
b55ed2ab-bdc7-463a-877c-775bd4a5248b,61978878-9ec4-49b9-8dd2-97981d8e25ce,C032,2026-02-07,updating,updating,1,5,5500000,0,스테이하롱 셔틀 리무진 단독,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
3c113281-1a8d-490a-a8d8-f58f6456dc3e,fab7ae9c-4f15-4a59-8406-1d9cb2ec6267,C329,2026-02-03,Aira Boutique Hanoi Hotel & Spa,,1,2,0,0,크루즈 셔틀 리무진,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
3aebaac6-6f34-4e04-8994-5ca44c1dc52e,fab7ae9c-4f15-4a59-8406-1d9cb2ec6267,C319,2026-02-03,,domestic airport,1,2,1700000,0,승용차,2025-10-15T05:32:58.542Z,2025-10-15T05:32:58.542Z
