re_id,re_user_id,order_id,re_quote_id,re_type,re_status,re_created_at,re_update_at,total_amount,paid_amount,payment_status
1f6c905b-c3c9-4f4a-b879-90609bf87cbc,b7da98c4-138a-46b8-990d-97aeb0bc432b,UwtpHzLP,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
b07f4f7a-9c00-4e4e-9eee-6c7c68fb6a7d,513b7b5b-78e6-46d4-8df6-3c854de1790d,uNalVftq,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
1c62f2cc-5256-4d98-98e3-5d8b54863994,9eb79927-3725-4917-adc2-83765a1d142c,NjvE7iqc,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
26bfb13e-891f-433e-8327-535d909d5ba6,20c8b0b2-7fa7-4ccf-8ab7-9f8f3171332b,OWMMytVs,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
69ed1201-ad42-4335-a1fa-46c250c43cc2,96b8df36-d465-4e97-9a64-f92e15a9c5a7,eqg5txYA,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
5d91a713-e397-46be-ad9a-a79eab5093cb,96b8df36-d465-4e97-9a64-f92e15a9c5a7,eqg5txYA,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
531a82c0-d8ce-47e6-850e-4df5bdadef89,13faf7d0-0d60-4a89-9ffd-06549bf94303,986ceGt0,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
0f4119b5-f994-47aa-bdcb-320d93e94a1e,25a1fdb0-f0ef-4257-9c42-9441a2e2657a,QBloFVN3,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
e797eee3-d395-4ed8-b04b-065e4c0f46cd,a4324483-31ee-405e-86cb-48b1f0916aab,PjdRQcTX,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
f466ddf6-d4f3-439c-8d28-00ea0d0b529a,0ea10f69-86d8-4e9b-ab1b-3cd9d0a4a6bf,2O5SnpyV,,cruise,completed,2025-10-15T03:11:39.061Z,2025-10-15T03:11:39.061Z,0,0,completed
